ID,Ano,País,Área do País,Continente,População,PIB (Dólares)
214,2006,Uruguay,176220.0,South America,3322282.0,19741420466.54
215,2007,Uruguay,176220.0,South America,3328651.0,23797773024.4
216,2008,Uruguay,176220.0,South America,3336126.0,31119603033.99
217,2009,Uruguay,176220.0,South America,3344156.0,32708318594.41
218,2010,Uruguay,176220.0,South America,3352651.0,41950361211.96
219,2011,Uruguay,176220.0,South America,3361637.0,50342405198.25
220,2012,Uruguay,176220.0,South America,3371133.0,54232266358.78
221,2013,Uruguay,176220.0,South America,3381180.0,61337620935.53
222,2014,Uruguay,176220.0,South America,3391662.0,61496186973.9
223,2015,Uruguay,176220.0,South America,3402818.0,57680328702.24
224,2016,Uruguay,176220.0,South America,3413766.0,57480788380.31
225,2017,Uruguay,176220.0,South America,3422200.0,65006047680.32
226,2018,Uruguay,176220.0,South America,3427042.0,65203071110.6
227,2019,Uruguay,176220.0,South America,3428409.0,62048585618.5
228,2020,Uruguay,176220.0,South America,3429086.0,53666908479.56
229,2021,Uruguay,176220.0,South America,3426260.0,61412268248.95
230,2022,Uruguay,176220.0,South America,3422794.0,71177146197.5
231,2000,Guiana (France),91000.0,South America,160004.0,0.0
232,2001,Guiana (France),91000.0,South America,166833.0,0.0
233,2002,Guiana (France),91000.0,South America,174529.0,0.0
234,2003,Guiana (France),91000.0,South America,182822.0,0.0
235,2004,Guiana (France),91000.0,South America,191188.0,0.0
236,2005,Guiana (France),91000.0,South America,199171.0,0.0
237,2006,Guiana (France),91000.0,South America,206460.0,0.0
238,2007,Guiana (France),91000.0,South America,213062.0,0.0
239,2008,Guiana (France),91000.0,South America,219105.0,0.0
240,2009,Guiana (France),91000.0,South America,224792.0,0.0
241,2010,Guiana (France),91000.0,South America,230291.0,0.0
242,2011,Guiana (France),91000.0,South America,235712.0,0.0
243,2012,Guiana (France),91000.0,South America,241039.0,0.0
244,2013,Guiana (France),91000.0,South America,246380.0,0.0
245,2014,Guiana (France),91000.0,South America,251938.0,0.0
